id,id_prerequis,decision_prerequis,emetteur,demande,bouton_accepte,bouton_refus,impact_accept_pop,impact_accept_gouv,impact_accept_lobby,impact_refus_pop,impact_refus_gouv,impact_refus_lobby,probabilite,impact_accepte_texte,impact_refus_texte
1,,,The office,First; we want you to fire Jocelyne.,Yes,No,0,30,0,0,-200,0,50,Good luck in your new job.,We can't trust you; we won't keep you. Good bye.
2,,,Propaganda Division,Publish a false report claiming that the Supreme Leader invented the concept of “hard work”,Yes,No,-10,20,10,10,-10,0,50,"The people are temporarily impressed by the Leader's ""wisdom;"" even if the information seems doubtful",Citizens; tired of propaganda; lose a little more trust in the regime
3,2,1,Head of the Censorship Bureau,Censor all references to “hard work” that existed before the birth of the Leader,Yes,No,-10,10,10,10,-10,0,50,The archives are modified to reinforce the myth of the Leader inventing the concept,Mockery over excessive censorship; some citizens begin making jokes online
4,2,1,Old Lady,I can't keep up ith the new schedules,Pass it on,Leave her unsupported,20,-20,-10,-20,10,10,50,You have been reprimanded.,She seems really sad.
5,3,1,Security Division,All your emails to the Censorship Bureau have been collected by hackers and circulated on Social Media,Delete access to Social Media,Plan a propaganda,-30,10,-10,0,0,0,50,People are in the street; all corporations send reprimands ... but at least they don't talk about the hack at all,Streisand effect won't work if we reapeat that thoses hackers are terrorist
6,5,0,Propaganda Division,We've been asked to prepare a propaganda plan regarding all the messages you've had with the Censorship Bureau. We have thought of two plans—what would you prefer?,Blood propaganda,Soft propaganda,0,0,0,0,0,0,50,People are in front of the Office's building. The government must violently repress the demonstration,As usual the propaganda works !
7,6,0,Propaganda Division,This is a classic case of misinformation by rogue actors. Trust us: everything you see online is simply a ploy to destabilize our great nation’s unity!,Publish it,Publish it,0,10,0,0,10,0,100,Keep it up and you'll soon be promoted !,Keep it up and you'll soon be promoted !
8,6,1,Propaganda Division,Traitors who undermine our authority are everywhere hiding in plain sight. Their recklessness endangers you all and justice will be swift severe and unmistakable.,Publish it,Publish it,-20,10,0,-20,10,0,100,We're going to send an intervention team,We're going to send an intervention team
9,,,Propaganda Division,The people recognize themselves in one man; Guy. He has become the people's guide.,OK,OK,30,20,10,30,20,10,20,We hope we can control him.,We hope we can control him.
10,,,Association of cooker,Lobsters Case : Hiding a report showing that “strategic planning” meetings consist of luxurious meals,Hide it,Publish it,10,10,0,20,-10,0,50,Loyalty among leaders is reinforced; even though citizens suspect unjustified spending,The population is shocked but admires the transparency; leading to increased trust
11,,,State newspaper “Eternal Glory to the Leader”.,Publish article claiming that the leader can “communicate with birds”,Hide it,Publish it,0,-10,0,20,10,0,50,Many citizens find this claim ridiculous; further eroding the credibility of propaganda,State propaganda temporarily gains popularity; though it provokes some amused smiles
12,,,Group of Indignant Mothers,Publish real figures on school success rates; suspected of being exaggerated,Hide it,Publish it,-10,-15,0,30,-30,0,50,Mothers mobilize; challenging the truth of official school success rates,Mothers are reassured; but the Ministry of Education loses credibility
13,12,1,Minister of Education,Modify reports to ensure 99% school success rate,Yes,No,-10,20,0,20,-10,0,50,"""Perfect standards"" are maintained; but the population grows increasingly skeptical",The transparency of figures is praised by citizens; though it weakens the ministry
14,,,Head of the Censorship Bureau,Confiscate telephones containing satirical memes about the regime,Yes,No,-30,10,0,-10,20,0,50,The regime tightens its control; but mistrust of government surveillance grows.,The population breathes a sigh of relief; rumors of state surveillance are defused.
15,,,Alliance of Sock Manufacturers,Proclaim “National Work Socks Month”,Yes,No,0,20,20,10,-10,-10,50,Increased support for textile producers; though people are divided between amusement and puzzlement,Citizens see this campaign as a symbol of the regime's bureaucratic rigidity
16,,,Minister of Right-Mindedness,Announce that the Leader is launching a new fashion trend of “compulsory plain socks”,Yes,No,-10,30,10,20,-10,-10,50,Plain socks become a patriotic symbol; though they spark some popular mockery.,The public is pleased with the lack of strict dress code; feeling generally relieved.
17,16,1,Minister of Right-Mindedness,Distribute “certificates of patriotism” for those who wear plain socks,Yes,No,-10,10,10,-10,-10,-10,50,Some citizens are enthusiastic; but others see this action as an attempt at control,Citizens heard about this proposal; mocking the rigidity of this new patriotic requirement.
18,9,,Guy,I need some money could you give me the winning ticket of the next lottery ?,Give,No way,30,0,0,-30,-30,-10,20,Guy thanks you,After a filmed speech by Guy. All the people's confidence in our wonderful government fell
19,,,Propaganda Division,Publish an article explaining that the Leader invented “clean air”,Yes,No,-10,10,10,20,-20,-10,50,Citizens ignore this proposal; mocking the rigidity of this new patriotic requirement.,The population feels somewhat reassured; finding the situation less absurd than usual.
